sno,heading,sub-heading,link
44,Brain dead man's organs transplanted to patients in Coimbatore,"The organs of a 65-year-old man, who was declared brain dead, was transplanted to patients in Coimbatore hospitals on Tuesday.",https://timesofindia.indiatimes.com/city/coimbatore/brain-dead-mans-organs-transplanted-to-patients-in-coimbatore/articleshow/45619302.cms
45,Two killed in separate Road accidents in city,Two people were killed in separate accidents in the city on Saturday. The traffic investigation wing (TIW) have arrested two truck drivers in connection with the cases.,https://timesofindia.indiatimes.com/city/coimbatore/two-killed-in-separate-road-accidents-in-city/articleshow/29740051.cms
46,Five killed in multiple vehicle collision near Salem,"Five people, including a two-year-old girl, were killed in a Road accident involving multiple vehicles near Mallur in the Salem district of Tamil Nadu on Monday.",https://timesofindia.indiatimes.com/city/chennai/five-killed-in-multiple-vehicle-collision-near-salem/articleshow/45602756.cms
47,Five of family killed in Road accident,"Five members of a family, including two children, were crushed to death and another member sustained severe injuries when the car in which they were traveling collided head-on with a private bus in Tiruvannamalai district in Tamil Nadu.",https://timesofindia.indiatimes.com/city/chennai/five-of-family-killed-in-road-accident/articleshow/20541148.cms
48,Four killed in Road accidents,"Four people, including a five-year-old child, were killed in two separate Road accidents in the city on Sunday evening.",https://timesofindia.indiatimes.com/city/indore/four-killed-in-road-accidents/articleshow/16430478.cms
49,Man killed in Road accident in Junagadh,"Aslam Halai, a son of Kodinar Municipality President Samina Halai, was coming from Rajkot to Kodinar in car and suddenly the car driver lost control over the steering and rammed the car into a tree.",https://timesofindia.indiatimes.com/city/rajkot/man-killed-in-road-accident-in-junagadh/articleshow/20518443.cms
50,"Two killed, 4 injured in Road accident",Two people died and four were injured when a tractor hit a tempo carrying passengers on Kushmi-Kushinagar Road on Tuesday.,https://timesofindia.indiatimes.com/city/varanasi/two-killed-4-injured-in-road-accident/articleshow/29596584.cms
51,Curtorim youth dies in Road accident,"19-year-old Savio Fernandes, a resident of Curtorim died on the spot after the two-wheeler he was riding hit a car at Benaulim on Sunday evening.",https://timesofindia.indiatimes.com/city/goa/curtorim-youth-dies-in-road-accident/articleshow/20513566.cms
52,Two killed as buses collide near Dindigul,Two passengers were killed on the spot when a Tamil Nadu State Transport Corporation (TNSTC) bus and a private bus collided head on near Reddiarchathiram in Dindigul district on Thursday.,https://timesofindia.indiatimes.com/city/madurai/two-killed-as-buses-collide-near-dindigul/articleshow/45563554.cms
53,Merchant navy officer killed in Road accident,"A retired merchant navy officer, Joseph P R, died in an accident after an autorickshaw hit his two-wheeler on the Aluva-Perumbavoor route at 7.30pm on Sunday.",https://timesofindia.indiatimes.com/city/kochi/merchant-navy-officer-killed-in-road-accident/articleshow/29460938.cms
54,"3 of a family, including infant, perish in accident","Rushing for medical aid for a 15-day-old baby ended in the death of three, including the infant, near Veerapura on the outskirts of Kolar on Wednesday.",https://timesofindia.indiatimes.com/city/bengaluru/3-of-a-family-including-infant-perish-in-accident/articleshow/20807068.cms
55,Bangalore medico killed in Mangalore Road accident,"A student from a medical college in Bangalore was killed when he lost control over the two-wheeler he was riding and hit a divider at Kapikkad on Sunday. The pillion, also a medical student, sustained injuries.",https://timesofindia.indiatimes.com/city/mangaluru/bangalore-medico-killed-in-mangalore-road-accident/articleshow/29443187.cms
56,344 road-accident deaths in 15 months in Goa,"Almost one person dies daily on Goan roads from vehicle accidents, and though rash driving is a major reason, the Indian Motor Vehicle Act does not allow for easy cancellation of the rash driver’s license, the Goa legislative assembly was told on Wednesday.",https://timesofindia.indiatimes.com/city/goa/344-road-accident-deaths-in-15-months-in-goa/articleshow/40532161.cms
57,Two youths riding on two-wheeler killed in Road accident,Two youths were killed in a Road accident in Madurai rural police limits on Thursday evening.,https://timesofindia.indiatimes.com/city/madurai/two-youths-riding-on-two-wheeler-killed-in-road-accident/articleshow/46306205.cms
58,Four killed in two Road accidents,At least four persons were killed in two separate Road accidents in Saurashtra on Friday.Two youths were killed when their car overturned near Revad village in Dwarka taluka of Jamnagar district.,https://timesofindia.indiatimes.com/city/rajkot/four-killed-in-two-road-accidents/articleshow/20372971.cms
59,"1,039 killed in Road accidents in Allahabad Range in 2014","The number of deaths in road mishaps is assuming alarming proportions. As many as 1,039 persons including 450 in Allahabad, 141 in Kaushambi, 288 in Fatehpur and 160 in Pratapgarh district respectively were killed in Allahabad range in 2014.",https://timesofindia.indiatimes.com/city/allahabad/1039-killed-in-road-accidents-in-allahabad-range-in-2014/articleshow/46272141.cms
60,11 killed in separate Road accidents,"Eleven persons, including six children and a woman, were killed and four others were seriously injured in separate Road accidents in the state on Thursday.",https://timesofindia.indiatimes.com/city/patna/11-killed-in-separate-road-accidents/articleshow/20359608.cms
