sno,data,link,date
49,"[['73.13016967599597', '19.329560918629795']]",https://timesofindia.indiatimes.com/city/nashik/at-least-one-dead-in-road-accident-at-mumbai-agra-highway/articleshow/99317327.cms," Apr 7, 2023"
50,[],https://timesofindia.indiatimes.com/city/mumbai/remarriage-cant-deny-widow-compensation-for-husbands-death-in-road-accident-says-bombay-hc/articleshow/99158309.cms," Apr 1, 2023"
51,"[['74.07111211006567', '20.25956912789941'], ['73.67387814315008', '19.86133521752167'], ['72.09212599500535', '24.289562112267777']]",https://timesofindia.indiatimes.com/city/nashik/5-dead-5-hurt-in-3-separate-road-accidents-in-nashik-city-rural/articleshow/96923595.cms,"Jan 12, 2023"
52,"[['72.74518', '19.796892']]",https://timesofindia.indiatimes.com/city/mumbai/newly-wed-dies-after-tyre-burst/articleshow/98573539.cms,"Mar 12, 2023"
53,"[['77.51852786502127', '18.81765920709116']]",https://timesofindia.indiatimes.com/city/nashik/most-nashik-city-roads-yet-to-get-proper-accident-prevention-features/articleshow/98439470.cms," Mar 6, 2023"
54,"[['74.17817646626891', '16.89441912851244']]",https://timesofindia.indiatimes.com/city/kolhapur/17-year-old-student-killed-in-road-accident/articleshow/98056196.cms,"Feb 19, 2023"
55,"[['73.0894135667641', '19.37119273453677']]",https://timesofindia.indiatimes.com/city/thane/transgender-person-dies-two-sisters-injured-in-separate-road-accidents-in-bhiwandi/articleshow/96652280.cms,"Dec 31, 2022"
56,"[['73.4239644', '20.378502300387698'], ['74.07111211006567', '20.25956912789941']]",https://timesofindia.indiatimes.com/city/nashik/10-pilgrims-killed-in-collision-between-bus-and-truck-in-maharashtras-nashik/articleshow/96955306.cms,"Jan 13, 2023"
57,['in Mhasrul area'],https://timesofindia.indiatimes.com/city/nashik/elderly-man-dies-in-road-accident/articleshow/96842711.cms," Jan 9, 2023"
58,"[['74.07111211006567', '20.25956912789941'], ['73.13016967599597', '19.329560918629795']]",https://timesofindia.indiatimes.com/city/nashik/two-killed-in-separate-road-accidents/articleshow/96752146.cms," Jan 5, 2023"
59,[],https://timesofindia.indiatimes.com/city/mumbai/over-1000-officials-from-maharashtra-get-training-to-collect-scientific-data-at-road-crash-sites/articleshow/96628585.cms,"Dec 30, 2022"
60,"[['74.15767229810787', '16.47016362703537']]",https://timesofindia.indiatimes.com/city/navi-mumbai/hours-after-report-against-maharashtra-refinery-journo-killed/articleshow/97751593.cms," Feb 9, 2023"
61,"[['74.07111211006567', '20.25956912789941'], 'on Madsangvi Road', 'on Pune Highway']",https://timesofindia.indiatimes.com/city/nashik/pedestrians-make-up-26-of-road-deaths-in-nashik-city-in-last-2-years/articleshow/97615495.cms," Feb 5, 2023"
62,[],https://timesofindia.indiatimes.com/city/nashik/over-750-killed-this-year-in-rural-nashik-road-accidents/articleshow/95547232.cms,"Nov 16, 2022"
63,"[['73.14104198458777', '20.73395098322631']]",https://timesofindia.indiatimes.com/city/pune/over-5k-traffic-violators-fined-in-pcmc-limits-in-11-days/articleshow/97567321.cms," Feb 3, 2023"
64,"['at Charoti', ['82.19191082595852', '21.66633715469947'], ['76.91319103533561', '21.509951838761815']]",https://timesofindia.indiatimes.com/city/mumbai/four-dead-as-car-hits-bus-on-mumbai-ahmedabad-highway-at-charoti-in-palghar/articleshow/97471423.cms,"Jan 31, 2023"
65,"[['78.39856153352103', '23.313741904197894']]",https://timesofindia.indiatimes.com/city/pune/22-yr-old-biker-killed-in-road-accident-at-bhosari-phata/articleshow/97390090.cms,"Jan 28, 2023"
66,"[['78.67862356183892', '18.398844226010937']]",https://timesofindia.indiatimes.com/city/nashik/teenager-killed-in-road-accident/articleshow/96099393.cms," Dec 9, 2022"
67,[],https://timesofindia.indiatimes.com/city/nashik/police-step-up-heat-on-errant-motorists/articleshow/97299586.cms,"Jan 25, 2023"
68,"[['78.79183457459912', '19.930747374378342']]",https://timesofindia.indiatimes.com/city/kolhapur/maharashtra-four-pilgrims-killed-in-road-accident-in-solapur-district/articleshow/95210946.cms,"Oct 31, 2022"
69,"[['74.07111211006567', '20.25956912789941']]",https://timesofindia.indiatimes.com/city/nashik/182-killed-in-461-accidents-in-nashik-city-in-2022/articleshow/97217771.cms,"Jan 22, 2023"
70,[],https://timesofindia.indiatimes.com/city/nashik/man-killed-in-road-accident-in-nashik-city/articleshow/96358374.cms,"Dec 20, 2022"
71,"[['73.99403247355319', '19.83998468216769'], ['74.08001769161578', '19.818517658101943']]",https://timesofindia.indiatimes.com/city/nashik/cm-announces-5l-ex-gratia-for-kin-of-deceased/articleshow/96980530.cms,"Jan 14, 2023"
72,['on Expressway'],https://timesofindia.indiatimes.com/city/mumbai/crash-deaths-on-mumbai-roads-down-27-to-259-in-2022/articleshow/96924729.cms,"Jan 12, 2023"
73,"[['72.0431380501599', '24.68998411339258'], ['78.42129257065083', '30.316058491560195']]",https://timesofindia.indiatimes.com/city/mumbai/mumbai-2-motorcyclists-killed-in-separate-road-crashes-in-western-suburbs/articleshow/95695892.cms,"Nov 22, 2022"
74,"[['74.07111211006567', '20.25956912789941']]",https://timesofindia.indiatimes.com/city/nashik/seven-days-into-new-year-4-killed-in-road-accidents/articleshow/96825184.cms," Jan 8, 2023"
75,"[['79.71131519992441', '21.01096439192838'], ['73.54510242351907', '18.766035988886113']]",https://timesofindia.indiatimes.com/city/pune/engineering-student-dies-after-dumper-hits-his-bike/articleshow/96672187.cms," Jan 2, 2023"
